Rank,Date,tornado_count,maximum_ef_reached,number_maxed_tornadoes,Deaths,injuries,max_size_ft,total_damagee,casualties
1,2011-04-27,30,EF3,1,0,426,1500.0,85762000,426
2,1974-04-03,24,EF4,5,45,742,800.0,21542500,787
3,2013-01-30,24,EF2,3,0,3,300.0,8629000,3
4,1984-05-06,18,EF2,3,0,0,50.0,300030,0
5,2021-12-10,16,EF2,4,0,34,1800.0,24135000,34
6,1995-05-18,15,EF4,1,3,85,1000.0,9934000,88
7,2021-05-04,14,EF0,14,0,0,200.0,535000,0
8,2008-02-05,14,EF3,1,22,148,880.0,266698000,170
9,2003-05-04,14,EF3,1,0,100,1000.0,102260000,100
10,2005-11-15,13,EF2,4,0,14,400.0,10328000,14
11,1998-04-16,13,EF5,1,4,110,1760.0,130638000,114
