Date,Time,Year,EF Scale,Path Length (in miles),Width (in feet),Injury,Fatality,Property Damage,Crops Damage,commnets,Link,month,Decade
1950-02-13 00:00:00,1:00 ,1950,EF1,0.2,7.0,8,0,2500,0,,"Feb. 13, 1950 01:00 AM CST",2,1950s
1950-02-13 00:00:00,2:00 ,1950,EF2,0.2,7.0,1,9,25000,0,,"Feb. 13, 1950 02:00 AM CST",2,1950s
1950-03-27 00:00:00,15:00 ,1950,EF1,0.2,7.0,0,0,2500,0,,"Mar. 27, 1950 15:00 PM CST",3,1950s
1951-11-14 00:00:00,22:00 ,1951,EF2,0.2,7.0,0,0,25000,0,,"Nov. 14, 1951 22:00 PM CST",11,1950s
1952-02-13 00:00:00,17:00 ,1952,EF2,0.3,300.0,0,0,25000,0,,"Feb. 13, 1952 17:00 PM CST",2,1950s
1952-02-13 00:00:00,19:45 ,1952,EF1,0.3,200.0,0,0,25000,0,,"Feb. 13, 1952 19:45 PM CST",2,1950s
1952-02-13 00:00:00,22:00 ,1952,EF3,7.4,350.0,2,0,250000,0,,"Feb. 13, 1952 22:00 PM CST",2,1950s
1952-02-13 00:00:00,22:30 ,1952,EF4,1.3,100.0,9,0,250000,0,,"Feb. 13, 1952 22:30 PM CST",2,1950s
1952-02-13 00:00:00,22:40 ,1952,EF4,11.4,100.0,35,3,250000,0,,"Feb. 13, 1952 22:40 PM CST",2,1950s
1952-02-13 00:00:00,23:00 ,1952,EF3,5.1,400.0,2,0,250000,0,,"Feb. 13, 1952 23:00 PM CST",2,1950s
1952-02-29 00:00:00,16:00 ,1952,EF1,0.1,100.0,166,3,25000,0,,"Feb. 29, 1952 16:00 PM CST",2,1950s
1952-02-29 00:00:00,16:30 ,1952,EF4,2.0,300.0,150,2,2500000,0,,"Feb. 29, 1952 16:30 PM CST",2,1950s
1952-02-29 00:00:00,16:40 ,1952,EF2,1.0,400.0,0,0,25000,0,,"Feb. 29, 1952 16:40 PM CST",2,1950s
1952-02-29 00:00:00,17:30 ,1952,EF2,15.3,587.0,0,0,250000,0,,"Feb. 29, 1952 17:30 PM CST",2,1950s
1952-03-21 00:00:00,18:00 ,1952,EF4,4.7,200.0,10,2,250000,0,,"Mar. 21, 1952 18:00 PM CST",3,1950s
1952-03-21 00:00:00,20:30 ,1952,EF3,18.1,1000.0,30,10,250000,0,,"Mar. 21, 1952 20:30 PM CST",3,1950s
1952-03-21 00:00:00,20:30 ,1952,EF4,2.0,200.0,5,4,250000,0,,"Mar. 21, 1952 20:30 PM CST",3,1950s
1952-03-21 00:00:00,22:00 ,1952,EF4,18.7,427.0,50,7,250000,0,,"Mar. 21, 1952 22:00 PM CST",3,1950s
1952-03-21 00:00:00,22:45 ,1952,EF2,0.1,150.0,2,2,25000,0,,"Mar. 21, 1952 22:45 PM CST",3,1950s
1952-03-21 00:00:00,22:50 ,1952,EF3,0.1,100.0,3,0,250000,0,,"Mar. 21, 1952 22:50 PM CST",3,1950s
1952-03-21 00:00:00,23:00 ,1952,EF2,0.1,150.0,8,1,250000,0,,"Mar. 21, 1952 23:00 PM CST",3,1950s
1952-03-21 00:00:00,23:17 ,1952,EF3,5.1,177.0,19,0,250000,0,,"Mar. 21, 1952 23:17 PM CST",3,1950s
1952-03-21 00:00:00,23:30 ,1952,EF4,11.1,177.0,14,4,2500000,0,,"Mar. 21, 1952 23:30 PM CST",3,1950s
1952-03-21 00:00:00,23:55 ,1952,EF2,0.3,500.0,0,0,25000,0,,"Mar. 21, 1952 23:55 PM CST",3,1950s
1952-03-22 00:00:00,12:01 ,1952,EF4,19.8,177.0,100,23,2500000,0,,"Mar. 22, 1952 00:01 AM CST",3,1950s
1952-03-22 00:00:00,12:20 ,1952,EF2,0.5,40.0,10,3,25000,0,,"Mar. 22, 1952 00:20 AM CST",3,1950s
1952-03-22 00:00:00,1:00 ,1952,EF4,15.9,177.0,43,11,2500000,0,,"Mar. 22, 1952 01:00 AM CST",3,1950s
1952-03-22 00:00:00,11:15 ,1952,EF1,0.3,7.0,1,0,25000,0,,"Mar. 22, 1952 11:15 AM CST",3,1950s
1952-06-30 00:00:00,18:05 ,1952,EF1,0.3,7.0,0,0,2500,0,,"Jun. 30, 1952 18:05 PM CDT",6,1950s
1953-01-20 00:00:00,17:41 ,1953,EF2,0.5,500.0,0,0,25000,0,,"Jan. 20, 1953 17:41 PM CST",1,1950s
1953-03-14 00:00:00,17:45 ,1953,EF2,24.8,33.0,8,0,25000,0,,"Mar. 14, 1953 17:45 PM CST",3,1950s
1953-03-14 00:00:00,18:00 ,1953,EF2,18.9,100.0,0,0,25000,0,,"Mar. 14, 1953 18:00 PM CST",3,1950s
1953-03-14 00:00:00,18:18 ,1953,EF2,5.1,100.0,2,0,25000,0,,"Mar. 14, 1953 18:18 PM CST",3,1950s
1953-03-14 00:00:00,18:30 ,1953,EF1,0.2,10.0,0,0,25000,0,,"Mar. 14, 1953 18:30 PM CST",3,1950s
1953-03-14 00:00:00,19:00 ,1953,EF1,0.2,10.0,0,0,25000,0,,"Mar. 14, 1953 19:00 PM CST",3,1950s
1953-03-14 00:00:00,19:30 ,1953,EF3,24.7,100.0,3,0,25000,0,,"Mar. 14, 1953 19:30 PM CST",3,1950s
1953-03-14 00:00:00,21:15 ,1953,EF2,0.3,600.0,1,0,25000,0,,"Mar. 14, 1953 21:15 PM CST",3,1950s
1953-03-22 00:00:00,15:15 ,1953,EF2,30.1,100.0,0,0,250000,0,,"Mar. 22, 1953 15:15 PM CST",3,1950s
1953-04-15 00:00:00,18:30 ,1953,EF1,0.5,200.0,8,0,25000,0,,"Apr. 15, 1953 18:30 PM CST",4,1950s
1953-04-15 00:00:00,18:45 ,1953,EF1,1.0,300.0,1,0,25000,0,,"Apr. 15, 1953 18:45 PM CST",4,1950s
